Es/N0,Eb/N0,FRA,BE,FE,BER,FER,SIM_THR
-3.01,0,108,4599,107,0.131,0.991,0.243
-2.76,0.25,131,4620,112,0.109,0.855,0.427
-2.51,0.5,145,4034,110,0.0859,0.759,0.469
-2.26,0.75,203,3548,108,0.0539,0.532,0.589
-2.01,1,305,3048,104,0.0308,0.341,0.775
-1.76,1.25,594,2797,106,0.0145,0.178,1.186
-1.51,1.5,1750,2534,102,0.00447,0.0583,1.96
-1.26,1.75,4964,2424,100,0.00151,0.0201,2.77
-1.01,2,28280,1913,101,0.000209,0.00357,3.665
-0.76,2.25,113725,1850,100,5.02E-05,0.000879,4.267
-0.51,2.5,512617,1342,100,8.08E-06,0.000195,3.85
-0.26,2.75,2108683,1440,100,2.11E-06,4.74E-05,4.058
-0.01,3,6940811,1328,100,5.91E-07,1.44E-05,4.418
