Es/N0,Eb/N0,FRA,BE,FE,BER,FER
-3.01,0,147,94187,147,0.156,1
-2.91,0.1,147,91587,147,0.152,1
-2.81,0.2,147,90394,147,0.15,1
-2.71,0.3,147,88153,147,0.146,1
-2.61,0.4,147,85909,147,0.143,1
-2.51,0.5,147,83451,147,0.139,1
-2.41,0.6,147,80379,147,0.133,1
-2.31,0.7,154,72341,142,0.115,0.922
-2.21,0.8,187,65829,138,0.0859,0.738
-2.11,0.9,331,50617,116,0.0373,0.35
-2.01,1,1085,41915,104,0.00943,0.0959
-1.91,1.1,9651,40826,103,0.00103,0.0107
-1.81,1.2,112504,36996,100,8.03E-05,0.000889
-1.71,1.3,2483391,37092,89,3.65E-06,3.58E-05
